"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.186114770E-1,2.922234535E-1,6.592226624E-1,9.837491989E0,9.863884514E0
4.210725190E-1,3.281157911E-1,6.113662124E-1,9.792028427E0,9.816580328E0
4.235336130E-1,1.435693651E-1,6.137589812E-1,9.909276962E0,9.929304214E0
4.260168940E-1,1.220339537E-1,6.257231236E-1,9.906884193E0,9.927375088E0
4.284779360E-1,1.292124242E-1,5.778666735E-1,9.967003822E0,9.984577654E0
4.309390290E-1,1.052841991E-1,5.682953596E-1,9.962218285E0,9.978969763E0
4.334000710E-1,5.264209956E-2,5.850451589E-1,9.914062500E0,9.931449254E0
4.358611650E-1,3.110669367E-2,5.730810165E-1,9.882955551E0,9.899606048E0
4.383222060E-1,6.460621208E-2,5.467599630E-1,9.894919395E0,9.910224531E0
4.407833000E-1,7.178468257E-2,5.802595019E-1,9.921540260E0,9.938753205E0
4.432443940E-1,7.178468257E-2,5.611169338E-1,9.890133858E0,9.906298652E0
4.457054360E-1,1.100698411E-1,5.946164131E-1,9.875777245E0,9.894274113E0
4.481665290E-1,7.657032460E-2,6.305087805E-1,9.911669731E0,9.931998852E0
4.506275710E-1,9.810572863E-2,6.089733839E-1,9.856635094E0,9.875916600E0
4.530886650E-1,1.196411327E-1,6.161518097E-1,9.890133858E0,9.910030513E0
4.555218420E-1,1.124626622E-1,6.065805554E-1,9.906884193E0,9.926073858E0
4.579829360E-1,8.374879509E-2,6.017948985E-1,9.892526627E0,9.911168146E0
4.604440290E-1,8.853443712E-2,6.400800347E-1,9.894919395E0,9.915995696E0
4.629050710E-1,1.148554832E-1,6.520441771E-1,9.878170013E0,9.900333136E0
4.653661650E-1,1.387837082E-1,6.664010882E-1,9.873384476E0,9.896821325E0
4.678272060E-1,1.124626622E-1,6.714858413E-1,9.792028427E0,9.815669198E0
4.702883000E-1,1.268195957E-1,7.456633449E-1,9.669994354E0,9.699530290E0
4.727493420E-1,2.105683982E-1,8.653044701E-1,9.535696983E0,9.577192064E0
4.752104360E-1,3.376871049E-1,1.092921734E0,9.015856743E0,9.088134204E0
4.776715290E-1,3.496512175E-1,1.169492126E0,8.944071770E0,9.026981092E0
4.801325710E-1,1.316052526E-1,7.552346587E-1,1.032383347E1,1.035225757E1
4.825936650E-1,3.110669367E-2,3.741776347E-1,1.093938732E1,1.094582895E1
4.850635080E-1,7.178468257E-2,9.631111473E-2,1.075274658E1,1.075341750E1
4.875245500E-1,8.135596663E-2,6.759724021E-2,1.016321468E1,1.016376509E1
4.899855920E-1,7.178468257E-2,3.000001311E-1,9.708279610E0,9.713178990E0
4.924466860E-1,2.392822690E-2,6.472585201E-1,9.590732574E0,9.612578607E0
4.949077790E-1,2.392822644E-3,8.772686124E-1,9.713065147E0,9.752601730E0
4.973688210E-1,9.571290575E-3,9.373882413E-1,9.808777809E0,9.853471999E0
4.998299150E-1,4.307080805E-2,8.413762450E-1,9.784850121E0,9.821051927E0
5.022910080E-1,1.316052526E-1,6.041877270E-1,9.818349838E0,9.837802412E0
5.047520500E-1,1.651047617E-1,4.749752879E-1,9.935896873E0,9.948613360E0
5.072131440E-1,1.483550072E-1,4.606183469E-1,1.007946587E1,1.009107579E1
5.096741860E-1,1.124626622E-1,5.706881881E-1,1.014167976E1,1.015834639E1
5.121352790E-1,1.052841991E-1,6.858428121E-1,1.005075264E1,1.007467586E1
5.145873630E-1,1.124626622E-1,7.313064337E-1,9.801599503E0,9.829486750E0
5.170484560E-1,1.722832322E-1,6.544370055E-1,9.741779327E0,9.765256462E0
5.195095500E-1,1.363908947E-1,5.778666735E-1,9.856635094E0,9.874501898E0
5.219705920E-1,9.810572863E-2,5.754738450E-1,9.940682411E0,9.957809080E0
5.244316860E-1,2.871387079E-2,6.305087805E-1,9.962218285E0,9.982192092E0
5.268927790E-1,5.264209956E-2,6.544370055E-1,9.916455269E0,9.938166032E0
5.293538210E-1,1.028913707E-1,6.544370055E-1,9.847063065E0,9.869322440E0
5.318149150E-1,1.339980662E-1,6.810571551E-1,9.830313683E0,9.854788756E0
5.342759560E-1,1.890329868E-1,6.858428121E-1,9.914062500E0,9.939554773E0
5.367370500E-1,1.842473447E-1,6.496513486E-1,9.935896873E0,9.958817231E0
5.391980920E-1,1.435693651E-1,6.448656917E-1,1.001246738E1,1.003423973E1
5.416591860E-1,1.076770201E-1,6.161518097E-1,9.952646255E0,9.972281829E0
5.441209560E-1,1.459621787E-1,6.209374666E-1,9.866206169E0,9.886803956E0
5.465820500E-1,1.100698411E-1,6.496513486E-1,9.815957069E0,9.838047338E0
5.490431440E-1,1.411765367E-1,6.472585201E-1,9.847063065E0,9.869322439E0
5.515041860E-1,1.651047617E-1,6.786643267E-1,9.904491425E0,9.929088338E0
5.539652790E-1,8.374879509E-2,7.360920906E-1,9.931111336E0,9.958705628E0
5.564263210E-1,-4.576273263E-2,8.030911088E-1,9.849455833E0,9.882248214E0
5.588874150E-1,-2.826521695E-1,8.509475589E-1,9.801599503E0,9.842527968E0
5.613484560E-1,-5.078766346E-1,8.150551915E-1,9.746564865E0,9.793762316E0
5.638095500E-1,-2.973082066E-1,4.821537733E-1,9.782457352E0,9.798843619E0
5.662706440E-1,9.332008660E-2,2.688934505E-1,9.837491989E0,9.841608657E0
5.687316860E-1,3.041875660E-1,2.688934505E-1,9.952646255E0,9.960923715E0
5.711927790E-1,3.616153300E-1,4.390829504E-1,1.018235779E1,1.019823365E1
5.736552790E-1,3.687937856E-1,6.400800347E-1,1.015603638E1,1.018286729E1
5.761163730E-1,1.674975902E-1,7.791628838E-1,9.921540260E0,9.953497445E0
5.785774670E-1,-6.729813665E-2,7.767700553E-1,9.715457916E0,9.746692941E0
5.810385080E-1,-1.773679852E-1,6.738786697E-1,9.619445801E0,9.644651854E0
5.834996020E-1,-1.462612897E-1,5.994020700E-1,9.701101303E0,9.720701708E0
5.859606960E-1,-9.571290575E-3,5.539384484E-1,9.950253487E0,9.965665249E0
5.884217380E-1,1.746760458E-1,5.228317380E-1,1.014167976E1,1.015664970E1
5.908828310E-1,3.089732230E-1,5.994020700E-1,1.009382343E1,1.011632437E1
5.933438730E-1,2.539383173E-1,6.858428121E-1,9.887741089E0,9.914751075E0
5.958049670E-1,8.614161611E-2,6.858428121E-1,9.806385040E0,9.830716571E0
5.982660080E-1,-3.858426586E-2,6.305087805E-1,9.729815483E0,9.750299452E0
6.007271020E-1,-1.151545867E-1,5.994020700E-1,9.756135941E0,9.775210070E0
6.032322060E-1,-1.175474152E-1,5.778666735E-1,9.863813400E0,9.881425104E0
6.056933000E-1,1.196411345E-2,5.515456200E-1,9.904491425E0,9.919843552E0
6.081543420E-1,1.459621787E-1,6.592226624E-1,9.945467949E0,9.968360557E0
6.106154360E-1,2.392822653E-1,6.882356405E-1,9.945467949E0,9.972123998E0
6.130765290E-1,1.866401732E-1,6.664010882E-1,9.938289642E0,9.962355443E0
6.155375710E-1,1.052841991E-1,6.448656917E-1,9.890133858E0,9.911694318E0
6.179986650E-1,1.435693540E-2,6.281159520E-1,9.827920914E0,9.847982801E0
6.204597580E-1,-3.379862010E-2,5.587241054E-1,9.832706451E0,9.848625850E0
6.229208000E-1,-1.435693540E-2,5.970092416E-1,9.914062500E0,9.932032089E0
6.253818940E-1,5.024927482E-2,6.376872063E-1,9.921540260E0,9.942139161E0
6.278429360E-1,1.172483116E-1,6.544370055E-1,9.894919395E0,9.917230702E0
6.303040290E-1,1.387837082E-1,6.376872063E-1,9.902098656E0,9.923581192E0
6.327246540E-1,1.244267747E-1,6.209374666E-1,9.875777245E0,9.896060910E0
6.351857480E-1,1.674975827E-2,6.065805554E-1,9.861420631E0,9.880072742E0
6.376468420E-1,7.178467698E-3,6.400800347E-1,9.945467949E0,9.966046694E0
6.401078830E-1,6.699903309E-2,6.329016089E-1,9.916455269E0,9.936857573E0
6.425689770E-1,1.124626622E-1,6.281159520E-1,9.870991707E0,9.891595158E0
6.450300710E-1,1.076770201E-1,6.714858413E-1,9.842277527E0,9.865744498E0
