"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.303778140E0,-5.026107654E-2,2.107143402E-2,-2.512168884E-2,6.001066903E-2
1.308760640E0,-3.084479272E-2,-5.297154188E-3,-6.529426575E-2,7.240719729E-2
1.313717150E0,-1.156568900E-2,-5.314618349E-3,-5.999565125E-2,6.133097503E-2
1.318673713E0,-5.426040292E-2,-4.083591700E-2,-6.424999237E-2,9.348703098E-2
1.323630275E0,-2.762845531E-2,-2.849900723E-2,-4.471683502E-2,5.979230962E-2
1.328586838E0,-2.027972788E-2,-1.634186506E-2,-3.721904755E-2,4.542665976E-2
1.333543400E0,-2.489192039E-2,1.234215498E-2,-6.304264069E-2,6.889347600E-2
1.338499963E0,-1.756859571E-2,-1.157730818E-2,-6.251430511E-2,6.596004824E-2
1.343414286E0,-2.223522589E-2,-2.809333801E-2,-6.912040710E-2,7.785416873E-2
1.348370848E0,1.830019802E-2,-2.784317732E-2,-1.041784286E-1,1.093768018E-1
1.353327463E0,-8.041799068E-3,-1.490205526E-3,-6.054878235E-2,6.109866029E-2
1.358284025E0,3.793850541E-3,-2.056995034E-2,-3.153324127E-2,3.783994535E-2
1.363240588E0,2.035829425E-2,-3.779739141E-3,-2.762794495E-3,2.088970096E-2
1.368197150E0,1.174919307E-3,-8.431315422E-3,-7.494926453E-3,1.134202088E-2
1.373160536E0,2.016260475E-2,3.532528877E-3,-2.881336212E-2,3.534429554E-2
1.378117098E0,3.178910911E-2,-2.501353621E-2,-4.995250702E-2,6.427656968E-2
1.383073713E0,1.003532112E-2,-8.289992809E-3,-5.665588379E-2,5.813192598E-2
1.388030275E0,4.074922949E-2,-8.256793022E-3,-5.618095398E-2,6.989258849E-2
1.392986838E0,7.043093443E-3,-3.369480371E-3,-3.454208374E-3,8.537571008E-3
1.397943400E0,-2.875510231E-2,2.520626783E-2,1.795387268E-2,4.224397461E-2
1.402889546E0,-7.195387036E-3,-1.779904962E-2,3.552436829E-3,1.952433275E-2
1.407846108E0,9.433470666E-3,2.274942398E-2,2.015209198E-2,3.182190239E-2
1.412802723E0,4.547797143E-3,1.307323575E-2,4.373931885E-2,4.587722709E-2
1.417759286E0,1.873302460E-2,8.228778839E-3,1.249217987E-2,2.397276725E-2
